Date,onset
2020/1/14,1
2020/1/15,0
2020/1/16,0
2020/1/17,1
2020/1/18,0
2020/1/19,0
2020/1/20,2
2020/1/21,0
2020/1/22,1
2020/1/23,2
2020/1/24,1
2020/1/25,0
2020/1/26,1
2020/1/27,0
2020/1/28,1
2020/1/29,1
2020/1/30,0
2020/1/31,0
2020/2/1,1
2020/2/2,2
2020/2/3,2
2020/2/4,1
2020/2/5,1
2020/2/6,1
2020/2/7,2
2020/2/8,0
2020/2/9,0
2020/2/10,4
2020/2/11,0
2020/2/12,1
2020/2/13,0
2020/2/14,1
2020/2/15,0
2020/2/16,0
2020/2/17,0
2020/2/18,1
2020/2/19,0
2020/2/20,3
2020/2/21,0
2020/2/22,0
2020/2/23,1
2020/2/24,2
2020/2/25,3
2020/2/26,2
2020/2/27,2
2020/2/28,3
2020/2/29,0
2020/3/1,2
2020/3/2,1
2020/3/3,5
2020/3/4,3
2020/3/5,1
2020/3/6,6
2020/3/7,2
2020/3/8,4
2020/3/9,4
2020/3/10,9
2020/3/11,3
2020/3/12,7
2020/3/13,6
2020/3/14,6
2020/3/15,14
2020/3/16,17
2020/3/17,18
2020/3/18,23
2020/3/19,25
2020/3/20,34
2020/3/21,18
2020/3/22,36
2020/3/23,61
2020/3/24,47
2020/3/25,63
2020/3/26,67
2020/3/27,91
2020/3/28,95
2020/3/29,99
2020/3/30,158
2020/3/31,106
2020/4/1,158
2020/4/2,121
2020/4/3,164
2020/4/4,149
2020/4/5,118
2020/4/6,137
2020/4/7,125
2020/4/8,100
2020/4/9,78
2020/4/10,124
2020/4/11,89
2020/4/12,69
2020/4/13,87
2020/4/14,63
2020/4/15,61
2020/4/16,64
2020/4/17,58
2020/4/18,52
2020/4/19,40
2020/4/20,53
2020/4/21,43
2020/4/22,41
2020/4/23,30
2020/4/24,28
2020/4/25,33
2020/4/26,23
2020/4/27,28
2020/4/28,32
2020/4/29,34
2020/4/30,17
2020/5/1,25
2020/5/2,15
2020/5/3,21
2020/5/4,16
2020/5/5,11
2020/5/6,7
2020/5/7,5
2020/5/8,5
2020/5/9,6
2020/5/10,5
2020/5/11,3
2020/5/12,5
2020/5/13,4
2020/5/14,3
2020/5/15,6
2020/5/16,7
2020/5/17,4
2020/5/18,5
2020/5/19,5
2020/5/20,9
2020/5/21,5
2020/5/22,7
2020/5/23,10
2020/5/24,15
2020/5/25,7
2020/5/26,19
2020/5/27,13
2020/5/28,21
2020/5/29,13
2020/5/30,10
2020/5/31,13
2020/6/1,14
2020/6/2,13
2020/6/3,12
2020/6/4,21
2020/6/5,15
2020/6/6,20
2020/6/7,14
2020/6/8,23
2020/6/9,17
2020/6/10,31
2020/6/11,19
2020/6/12,24
2020/6/13,17
2020/6/14,26
2020/6/15,22
2020/6/16,33
2020/6/17,29
2020/6/18,24
2020/6/19,25
2020/6/20,49
2020/6/21,33
2020/6/22,47
2020/6/23,58
2020/6/24,57
2020/6/25,42
2020/6/26,46
2020/6/27,66
2020/6/28,65
2020/6/29,88
2020/6/30,115
2020/7/1,123
2020/7/2,103
2020/7/3,108
2020/7/4,103
2020/7/5,103
2020/7/6,169
2020/7/7,152
2020/7/8,133
2020/7/9,151
2020/7/10,161
2020/7/11,167
2020/7/12,168
2020/7/13,184
2020/7/14,164
2020/7/15,155
2020/7/16,169
2020/7/17,151
2020/7/18,165
2020/7/19,173
2020/7/20,211
2020/7/21,184
2020/7/22,189
2020/7/23,158
2020/7/24,176
2020/7/25,180
2020/7/26,224
2020/7/27,219
2020/7/28,230
2020/7/29,200
2020/7/30,193
2020/7/31,186
2020/8/1,231
2020/8/2,200
2020/8/3,234
2020/8/4,223
2020/8/5,183
2020/8/6,130
2020/8/7,163
2020/8/8,140
2020/8/9,141
2020/8/10,177
2020/8/11,179
2020/8/12,157
2020/8/13,137
2020/8/14,145
2020/8/15,165
2020/8/16,135
2020/8/17,159
2020/8/18,126
2020/8/19,114
2020/8/20,106
2020/8/21,89
2020/8/22,118
2020/8/23,90
2020/8/24,123
2020/8/25,123
2020/8/26,93
2020/8/27,88
2020/8/28,86
2020/8/29,91
2020/8/30,68
2020/8/31,96
2020/9/1,114
2020/9/2,88
2020/9/3,92
2020/9/4,108
2020/9/5,103
2020/9/6,88
2020/9/7,100
2020/9/8,107
2020/9/9,106
2020/9/10,91
2020/9/11,67
2020/9/12,97
2020/9/13,74
2020/9/14,130
2020/9/15,93
2020/9/16,93
2020/9/17,94
2020/9/18,76
2020/9/19,65
2020/9/20,72
2020/9/21,97
2020/9/22,113
2020/9/23,108
2020/9/24,104
2020/9/25,108
2020/9/26,95
2020/9/27,83
2020/9/28,112
2020/9/29,106
2020/9/30,85
2020/10/1,128
2020/10/2,98
2020/10/3,99
2020/10/4,91
2020/10/5,108
2020/10/6,112
2020/10/7,113
2020/10/8,138
2020/10/9,118
2020/10/10,115
2020/10/11,93
2020/10/12,138
2020/10/13,108
2020/10/14,98
2020/10/15,86
2020/10/16,99
2020/10/17,74
2020/10/18,76
2020/10/19,109
2020/10/20,122
2020/10/21,102
2020/10/22,91
2020/10/23,118
2020/10/24,99
2020/10/25,96
2020/10/26,129
2020/10/27,98
2020/10/28,109
2020/10/29,99
2020/10/30,126
2020/10/31,113
2020/11/1,117
2020/11/2,173
2020/11/3,185
2020/11/4,156
2020/11/5,177
2020/11/6,184
2020/11/7,159
2020/11/8,167
2020/11/9,208
2020/11/10,223
2020/11/11,229
2020/11/12,223
2020/11/13,230
2020/11/14,230
2020/11/15,243
2020/11/16,289
2020/11/17,321
2020/11/18,287
2020/11/19,253
2020/11/20,265
2020/11/21,228
2020/11/22,197
2020/11/23,230
2020/11/24,275
2020/11/25,243
2020/11/26,236
2020/11/27,262
2020/11/28,222
2020/11/29,239
2020/11/30,279
2020/12/1,279
2020/12/2,301
2020/12/3,279
2020/12/4,289
2020/12/5,247
2020/12/6,258
2020/12/7,334
2020/12/8,362
2020/12/9,334
2020/12/10,347
2020/12/11,314
2020/12/12,313
2020/12/13,321
2020/12/14,435
2020/12/15,392
2020/12/16,396
2020/12/17,318
2020/12/18,262
2020/12/19,247
2020/12/20,223
2020/12/21,191
2020/12/22,105
2020/12/23,9
